U+30233	𰈳	orbr
U+30234	𰈴	icrp
U+30234	𰈴	idrp
U+30235	𰈵	bmrp
U+30236	𰈶	rvmi
U+30237	𰈷	jlrp
U+30238	𰈸	rseo
U+30239	𰈹	rdlj
U+3023A	𰈺	ger
U+3023B	𰈻	rjpru
U+3023B	𰈻	rjpsu
U+3023C	𰈼	roic
U+3023C	𰈼	rolc
U+3023D	𰈽	yrnqd
U+3023E	𰈾	riuf
U+3023F	𰈿	ryej
U+30240	𰉀	romc
U+30241	𰉁	ryho
U+30242	𰉂	rybk
U+30243	𰉃	reti
U+30244	𰉄	rhuo
U+30245	𰉅	rcbu
U+30246	𰉆	rqjn
U+30247	𰉇	grymb
U+30248	𰉈	najr
U+30249	𰉉	rnfq
U+3024A	𰉊	rouj
U+3024B	𰉋	ripk
U+3024C	𰉌	rypy
U+3024D	𰉍	woin
U+3024E	𰉎	wvlm
U+3024F	𰉏	wyr
U+30250	𰉐	wcmmm
U+30251	𰉑	wktj
U+30252	𰉒	kowr
U+30253	𰉓	wrkj
U+30254	𰉔	wmmc
U+30255	𰉕	gn
U+30256	𰉖	gs
U+30257	𰉗	fg
U+30258	𰉘	gqs
U+30259	𰉙	gbk
U+3025A	𰉚	gbhu
U+3025B	𰉛	mkg
U+3025C	𰉜	goin
U+3025D	𰉝	ghqu
U+3025E	𰉞	gnl
U+3025F	𰉟	glmp
U+30260	𰉠	ghke
U+30261	𰉡	ghem
U+30261	𰉡	ghey
U+30262	𰉢	ytg
U+30263	𰉣	geq
U+30264	𰉤	deg
U+30265	𰉥	gkt
U+30266	𰉦	gkb
U+30267	𰉧	mikg
U+30268	𰉨	guq
U+30269	𰉩	ghkl
U+3026A	𰉪	gopj
U+3026B	𰉫	gohl
U+3026C	𰉬	ghnn
U+3026D	𰉭	gpa
U+3026E	𰉮	gdl
U+3026F	𰉯	isg
U+30270	𰉰	gjbk
U+30271	𰉱	gomm
U+30272	𰉲	gnau
U+30272	𰉲	gshu
U+30273	𰉳	ghmb
U+30274	𰉴	gjcs
U+30275	𰉵	gshu
U+30276	𰉶	ger
U+30277	𰉷	grg
U+30278	𰉸	mug
U+30279	𰉹	dig
U+3027A	𰉺	gpfd
U+3027B	𰉻	gbbe
U+3027C	𰉼	bbg
U+3027D	𰉽	gfbd
U+3027E	𰉾	gyok
U+3027F	𰉿	iufg
U+30280	𰊀	vrg
U+30281	𰊁	gdhy
U+30282	𰊂	gtjb
U+30283	𰊃	gmgt
U+30284	𰊄	gfhu
U+30285	𰊅	gnuy
U+30286	𰊆	ghke
U+30286	𰊆	gmke
U+30287	𰊇	erg
U+30288	𰊈	lig
U+30289	𰊉	ibg
U+3028A	𰊊	gtvi
U+3028B	𰊋	gstu
U+3028C	𰊌	gmg
U+3028D	𰊍	ggrv
U+3028E	𰊎	kgmmr
U+3028F	𰊏	gmrd
U+30290	𰊐	gwce
U+30290	𰊐	gwue
U+30291	𰊑	glit
U+30292	𰊒	gtsm
U+30293	𰊓	gwlu
U+30294	𰊔	ghup
U+30295	𰊕	gfbmr
U+30296	𰊖	edg
U+30297	𰊗	gbng
U+30298	𰊘	gndf
U+30299	𰊙	geg
U+3029A	𰊚	gtlo
U+3029B	𰊛	gslo
U+3029C	𰊜	gqmc
U+3029D	𰊝	gjud
U+3029E	𰊞	gybb
U+3029F	𰊟	gtmb
U+302A0	𰊠	gfbb
U+302A1	𰊡	glsx
U+302A2	𰊢	elg
U+302A3	𰊣	efg
U+302A4	𰊤	itfg
U+302A5	𰊥	ganr
U+302A6	𰊦	ggrr
U+302A7	𰊧	gjmd
U+302A7	𰊧	gjvd
U+302A8	𰊨	gand
U+302A9	𰊩	rrg
U+302AA	𰊪	rrslg
U+302AB	𰊫	ghlq
U+302AC	𰊬	gorm
U+302AD	𰊭	yhlg
U+302AE	𰊮	gomw
U+302AF	𰊯	heg
U+302B0	𰊰	gsmrt
U+302B1	𰊱	gyfu
U+302B2	𰊲	lkg
U+302B3	𰊳	guhk
U+302B4	𰊴	mwg
U+302B5	𰊵	ggyt
U+302B6	𰊶	twbg
U+302B7	𰊷	grxu
U+302B8	𰊸	gime
U+302B9	𰊹	gmrc
U+302BA	𰊺	gfba
U+302BB	𰊻	ggwc
U+302BC	𰊼	gypb
U+302BD	𰊽	rng
U+302BD	𰊽	rug
U+302BE	𰊾	guwf
U+302BF	𰊿	vkg
U+302C0	𰋀	gviw
U+302C1	𰋁	mjg
U+302C2	𰋂	gtye
U+302C3	𰋃	gffe
U+302C4	𰋄	gsmc
U+302C5	𰋅	ghei
U+302C6	𰋆	gfbf
U+302C7	𰋇	guffd
U+302C8	𰋈	gby
U+302C9	𰋉	gggm
U+302CA	𰋊	magbn
U+302CB	𰋋	gthem
U+302CB	𰋋	gthey
U+302CC	𰋌	ghmvm
U+302CD	𰋍	gnsrg
U+302CE	𰋎	hemso
U+302CF	𰋏	prhe
U+302D0	𰋐	nnkn
U+302D1	𰋑	nntc
U+302D2	𰋒	nnemy
U+302D3	𰋓	nnryo
U+302D4	𰋔	nngcg
U+302D5	𰋕	nnjmf
U+302D6	𰋖	fvnin
U+302D7	𰋗	dnhvd
U+302D8	𰋘	junin
U+302D9	𰋙	bk
U+302DA	𰋚	mk
U+302DB	𰋛	kphi
U+302DB	𰋛	kpo
U+302DC	𰋜	kkk
U+302DD	𰋝	ssk
U+302DE	𰋞	kmym
U+302DF	𰋟	mkmk
U+302E0	𰋠	qkpu
U+302E1	𰋡	mkkhu
U+302E2	𰋢	kwks
U+302E3	𰋣	hohqo
U+302E4	𰋤	koye
U+302E5	𰋥	hhk
U+302E6	𰋦	konhe
U+302E7	𰋧	ffk
U+302E8	𰋨	mak
U+302E9	𰋩	mkmk
U+302EA	𰋪	mkqyt
U+302EB	𰋫	kik
U+302EC	𰋬	cryk
U+302ED	𰋭	mkahm
U+302EE	𰋮	mkjju
U+302EF	𰋯	mkybs
U+302F0	𰋰	ykbcn
U+302F1	𰋱	tryk
U+302F2	𰋲	kostt
U+302F2	𰋲	kosyj
U+302F3	𰋳	keem
U+302F4	𰋴	bkbvk
U+302F5	𰋵	iv
U+302F6	𰋶	vks
U+302F7	𰋷	fv
U+302F8	𰋸	vnsh
U+302F9	𰋹	vqni
U+302FA	𰋺	vf
U+302FB	𰋻	vah
U+302FC	𰋼	vhke
U+302FD	𰋽	mikv
U+302FE	𰋾	vppj
U+302FF	𰋿	vma
U+30300	𰌀	tbv
U+30301	𰌁	vumn
U+30302	𰌂	vybo
U+30303	𰌃	voym
U+30304	𰌄	vyk
U+30305	𰌅	quv
U+30306	𰌆	klv
U+30307	𰌇	vqmo
U+30308	𰌈	vjbm
U+30308	𰌈	vjbv
U+30309	𰌉	vrlu
U+3030A	𰌊	vmuu
U+3030B	𰌋	van
U+3030C	𰌌	gtv
U+3030D	𰌍	vktq
U+3030E	𰌎	vbir
U+3030F	𰌏	vbbb
U+30310	𰌐	vtaj
U+30311	𰌑	rbv
U+30312	𰌒	vhwp
U+30313	𰌓	vslsb
U+30314	𰌔	vfdj
U+30315	𰌕	fvss
U+30316	𰌖	vjpt
U+30317	𰌗	vndk
U+30318	𰌘	gev
U+30319	𰌙	vdlo
U+3031A	𰌚	ukv
U+3031B	𰌛	vhdu
U+3031C	𰌜	nddh
U+3031D	𰌝	ndhp
U+3031E	𰌞	mmcd
U+3031F	𰌟	ndmmi
U+30320	𰌠	ndylm
U+30321	𰌡	ndye
U+30322	𰌢	ndng
U+30323	𰌣	ndok
U+30324	𰌤	ndoii
U+30324	𰌤	ndoml
U+30325	𰌥	ndjmn
U+30326	𰌦	ndmtc
U+30327	𰌧	ndmbl
U+30328	𰌨	ndfb
U+30329	𰌩	dond
U+3032A	𰌪	ndtmc
U+3032B	𰌫	ndkmf
U+3032C	𰌬	ndabu
U+3032D	𰌭	ndyhh
U+3032D	𰌭	ndykh
U+3032E	𰌮	undf
U+3032F	𰌯	ndwvf
U+30330	𰌰	jrfbd
U+30331	𰌱	sdsdd
U+30332	𰌲	jdytu
U+30333	𰌳	jvv
U+30334	𰌴	jmmm
U+30335	𰌵	jei
U+30336	𰌶	jmf
U+30337	𰌷	jiks
U+30338	𰌸	jsk
U+30339	𰌹	jjt
U+3033A	𰌺	jrsl
U+3033B	𰌻	jklg
U+3033C	𰌼	jma
U+3033D	𰌽	jvr
U+3033E	𰌾	jmsm
U+3033F	𰌿	jmvm
U+30340	𰍀	joyg
U+30341	𰍁	juhq
U+30342	𰍂	jdhe
U+30343	𰍃	jhtl
U+30344	𰍄	jhrj
U+30345	𰍅	jsuu
U+30346	𰍆	jmfb
U+30347	𰍇	jtmd
U+30348	𰍈	jife
U+30348	𰍈	jmfe
U+30349	𰍉	jtcn
U+3034A	𰍊	jtkr
U+3034B	𰍋	jpkp
U+3034C	𰍌	jetc
U+3034D	𰍍	jpor
U+3034E	𰍎	qijmo
U+3034F	𰍏	jmhf
U+30350	𰍐	jtch
U+30351	𰍑	jukd
U+30352	𰍒	jmad
U+30353	𰍓	jwlf
U+30354	𰍔	jtgf
U+30355	𰍕	jlye
U+30356	𰍖	jpyr
U+30357	𰍗	jsmd
U+30358	𰍘	jejj
U+30359	𰍙	jlre
U+3035A	𰍚	jvwln
U+3035B	𰍛	jujrr
U+3035C	𰍜	jogd
U+3035D	𰍝	jrjkd
U+3035E	𰍞	jhbk
U+3035F	𰍟	jhyr
U+30360	𰍠	jveb
U+30361	𰍡	jnyc
U+30362	𰍢	jrjcr
U+30363	𰍣	sbjhp
U+30364	𰍤	ybjti
U+30365	𰍥	iigdi
U+30366	𰍦	sitmd
U+30367	𰍧	hn
U+30368	𰍨	ni
U+30369	𰍩	fo
U+3036A	𰍪	ymf
U+3036B	𰍫	fyhv
U+3036C	𰍬	ypfh
U+3036D	𰍭	muhqm
U+3036E	𰍮	kujv
U+3036F	𰍯	ajiku
U+30370	𰍰	sm
U+30371	𰍱	sqni
U+30372	𰍲	syc
U+30373	𰍳	ssf
U+30374	𰍴	sen
U+30375	𰍵	rcso
U+30376	𰍶	shon
U+30377	𰍷	syuk
U+30378	𰍸	sqje
U+30379	𰍹	sjwj
U+3037A	𰍺	suk
U+3037B	𰍻	seg
