3271A	𲜚	jmjbm
3271B	𲜛	jrhdn
3271C	𲜜	jlkf
3271D	𲜝	jmhr
3271E	𲜞	mtjti
3271F	𲜟	jmjcr
32720	𲜠	wldi
32721	𲜡	jmui
32722	𲜢	jmrdi
32723	𲜣	tudi
32724	𲜤	btdi
32725	𲜥	bvdi
32726	𲜦	sijd
32727	𲜧	gimmi
32728	𲜨	aufh
32729	𲜩	mgfh
3272A	𲜪	fqhl
3272B	𲜫	quf
3272C	𲜬	fqlu
3272D	𲜭	fhquu
3272E	𲜮	yjfh
3272F	𲜯	vsyrf
32730	𲜰	ahf
32731	𲜱	nflyp
32732	𲜲	sn
32733	𲜳	smmu
32734	𲜴	sommm
32735	𲜵	smnr
32736	𲜶	slln
32737	𲜷	syiu
32738	𲜸	sccu
32739	𲜹	suyv
3273A	𲜺	sumr
3273B	𲜻	shsb
3273B	𲜻	sisb
3273C	𲜼	seho
3273D	𲜽	bnso
3273E	𲜾	stgt
3273F	𲜿	sdeb
32740	𲝀	srysm
32740	𲝀	srysy
32741	𲝁	ggshu
32742	𲝂	syoma
32743	𲝃	uc
32744	𲝄	umms
32745	𲝅	umo
32746	𲝆	umf
32747	𲝇	uyo
32748	𲝈	uosu
32749	𲝉	uhg
32749	𲝉	umg
3274A	𲝊	urms
3274B	𲝋	uhvo
3274C	𲝌	ubbm
3274C	𲝌	ubt
3274D	𲝍	hau
3274E	𲝎	uine
3274F	𲝏	uio
32750	𲝐	udhe
32751	𲝑	upa
32752	𲝒	usj
32753	𲝓	ugpd
32754	𲝔	mnu
32755	𲝕	ufmu
32756	𲝖	ufk
32757	𲝗	uohg
32757	𲝗	uomg
32758	𲝘	uoik
32759	𲝙	uohl
3275A	𲝚	vdu
3275B	𲝛	uglc
3275C	𲝜	uprs
3275D	𲝝	unib
3275E	𲝞	unlu
3275F	𲝟	ujlv
32760	𲝠	udmg
32761	𲝡	usmv
32762	𲝢	ukjt
32763	𲝣	uqsr
32764	𲝤	udlu
32765	𲝥	ubtv
32766	𲝦	uahl
32767	𲝧	uphp
32768	𲝨	uihi
32768	𲝨	uihm
32769	𲝩	uff
3276A	𲝪	ysu
3276B	𲝫	ujmo
3276C	𲝬	unlr
3276D	𲝭	urmdm
3276E	𲝮	utkr
3276F	𲝯	uuuu
32770	𲝰	uhsc
32770	𲝰	unbc
32770	𲝰	ushc
32771	𲝱	unlv
32772	𲝲	unok
32773	𲝳	udgg
32774	𲝴	uqkd
32775	𲝵	ujrr
32776	𲝶	utvs
32777	𲝷	uuob
32778	𲝸	uwtc
32779	𲝹	uawe
3277A	𲝺	uwtc
3277B	𲝻	uhsu
3277B	𲝻	uhvu
3277C	𲝼	ubof
3277D	𲝽	uold
3277E	𲝾	uttn
3277E	𲝾	uyjn
3277F	𲝿	ufdt
32780	𲞀	unli
32781	𲞁	umbi
32782	𲞂	ugov
32783	𲞃	updh
32784	𲞄	ufbq
32785	𲞅	uqhf
32786	𲞆	unot
32787	𲞇	ugrc
32788	𲞈	uddf
32789	𲞉	uyed
3278A	𲞊	uhmo
3278B	𲞋	uyco
3278B	𲞋	uyto
3278C	𲞌	utjr
3278D	𲞍	uhed
3278E	𲞎	unbe
3278E	𲞎	unbk
3278F	𲞏	yxu
32790	𲞐	mrmru
32791	𲞑	uhok
32792	𲞒	uhon
32793	𲞓	uffi
32794	𲞔	uyrb
32795	𲞕	usca
32796	𲞖	unlc
32797	𲞗	uypb
32798	𲞘	uhxc
32799	𲞙	uhxc
3279A	𲞚	ummp
3279B	𲞛	lllk
3279C	𲞜	vujmn
3279D	𲞝	oom
